ReviewID,Product,Rating,ReviewText,ReviewDate,PolarityScore,Sentiment,Emotions
2f7ab62a,Office Chair,4,works great  Great value for money. Used it daily.,2026-01-03,0.4,Positive,['joy']
bc0de8de,USB-C Charger,5,very satisfied  Used it daily.,2023-11-30,0.16666666666666666,Positive,['joy']
7b39d8ae,Office Chair,3,works as expected  Could be better. Used it daily.,2023-03-03,0.1,Positive,['neutral']
7130b785,Wireless Earbuds,1,poor quality  Very disappointed.,2025-01-04,-0.4,Negative,"['anger', 'sadness']"
59a48ff2,Blender,4,exceeded expectations  Highly recommend. Used it daily.,2024-03-25,0.25,Positive,['joy']
2072fee4,Office Chair,1,missing parts  Very disappointed. I bought this for my travel.,2026-07-02,-0.18181818181818182,Negative,"['anger', 'sadness']"
8b98a687,Stainless Bottle,5,exceeded expectations  Highly recommend.,2023-03-29,0.4,Positive,['joy']
3fa51805,Office Chair,3,acceptable  It's okay. I bought this for my office.,2023-03-15,0.0,Neutral,['neutral']
4b5f1b5b,USB-C Charger,3,it's fine  Could be better.,2023-09-29,0.0,Neutral,['neutral']
b3766631,Wireless Earbuds,4,loved it  Great value for money. Used it daily.,2023-05-06,0.3,Positive,['joy']
2220ab09,Laptop Sleeve,4,excellent product  Used it daily.,2023-02-24,0.16666666666666666,Positive,['joy']
d980e3e9,Stainless Bottle,3,average  Nothing special. I bought this for my travel.,2023-06-16,0.0,Neutral,['neutral']
fe278178,Blender,4,very satisfied  Highly recommend.,2024-07-15,0.4,Positive,['joy']
f57f4b1d,Laptop Sleeve,3,fair,2023-09-21,0.0,Neutral,['neutral']
31935f3f,Stainless Bottle,4,perfect  Great value for money. Used it daily.,2023-01-18,0.3333333333333333,Positive,['joy']
05167163,USB-C Charger,4,loved it  Great value for money.,2023-03-10,0.42857142857142855,Positive,['joy']
e1c1ddbd,Office Chair,1,missing parts  Very disappointed. Used it daily.,2025-12-21,-0.25,Negative,"['anger', 'sadness']"
0def66e5,Blender,5,five stars  Will buy again.,2024-08-26,0.0,Neutral,['neutral']
c66f4083,Stainless Bottle,3,fair  Nothing special.,2023-02-07,0.0,Neutral,['neutral']
0bbf2349,Laptop Sleeve,5,will buy again,2023-07-31,0.0,Neutral,['neutral']
b6b56b9f,Laptop Sleeve,2,terrible  I bought this for my workout.,2023-09-07,-0.125,Negative,['anger']
edb2817f,USB-C Charger,1,not as described  Returned it.,2025-05-26,-0.3333333333333333,Negative,['sadness']
b90d425b,Stainless Bottle,3,neutral  It's okay. I bought this for my mom.,2024-02-01,0.0,Neutral,['neutral']
959fcf61,USB-C Charger,3,works as expected  Could be better. I bought this for my travel.,2023-09-25,0.07692307692307693,Positive,['neutral']
86e9c0d3,Blender,4,great value  Highly recommend.,2023-03-16,0.6,Positive,['joy']
3b74687b,Blender,5,good quality,2024-06-28,0.3333333333333333,Positive,['neutral']
3392ee07,USB-C Charger,5,best purchase  Will buy again. Used it daily.,2025-04-02,0.1111111111111111,Positive,['joy']
3f7c81e2,Blender,4,works great  Packaging was good. I bought this for my workout.,2025-07-19,0.25,Positive,['joy']
97cf8db8,Stainless Bottle,2,broke quickly  Used it daily.,2023-03-21,-0.16666666666666666,Negative,['neutral']
e5222fca,Office Chair,1,bad customer service  Not recommended. Used it daily.,2023-05-24,-0.2222222222222222,Negative,['neutral']
43d17c16,Laptop Sleeve,4,best purchase  Great value for money.,2023-04-26,0.42857142857142855,Positive,['joy']
695aed28,Stainless Bottle,5,highly recommend  Great value for money.,2023-06-11,0.42857142857142855,Positive,['joy']
06a0a5b7,Blender,3,does the job  Nothing special.,2023-10-13,0.0,Neutral,['neutral']
25a3d22a,Laptop Sleeve,2,missing parts  Very disappointed. Used it daily.,2024-08-14,-0.25,Negative,"['anger', 'sadness']"
7a6b2835,USB-C Charger,1,terrible  Used it daily.,2027-05-01,-0.2,Negative,['anger']
19f96f98,Blender,5,loved it,2023-03-22,0.3333333333333333,Positive,['joy']
f3c2dd5a,Yoga Mat,1,waste of money  Very disappointed.,2024-09-08,-0.3333333333333333,Negative,"['anger', 'sadness']"
659a138f,Blender,5,works great  Will buy again. Used it daily.,2024-04-21,0.2222222222222222,Positive,['joy']
8ceae2df,Laptop Sleeve,5,works great  Highly recommend.,2023-01-29,0.6,Positive,['joy']
8ca8257f,Office Chair,4,good quality  Great value for money.,2023-02-14,0.42857142857142855,Positive,['joy']
37fff10b,Blender,5,exceeded expectations  Packaging was good.,2023-12-23,0.3333333333333333,Positive,['neutral']
d9e0482a,Laptop Sleeve,3,nothing special  Nothing special. I bought this for my office.,2023-01-24,0.0,Neutral,['neutral']
2cf05215,Stainless Bottle,3,works as expected  It's okay.,2023-05-24,0.14285714285714285,Positive,['neutral']
378e8813,USB-C Charger,5,works great  Packaging was good.,2024-01-06,0.5,Positive,['joy']
94e8fa95,Blender,5,very satisfied,2023-08-22,0.3333333333333333,Positive,['joy']
a24aa08d,Wireless Earbuds,2,bad customer service,2024-03-31,-0.25,Negative,['neutral']
fa9d5441,Wireless Earbuds,5,loved it  Highly recommend. Used it daily.,2023-10-28,0.25,Positive,['joy']
0641cf5f,Yoga Mat,5,best purchase  Packaging was good.,2023-09-06,0.3333333333333333,Positive,['joy']
80b09dd1,USB-C Charger,4,five stars  Will buy again. Used it daily.,2023-07-23,0.0,Neutral,['neutral']
5c015930,USB-C Charger,1,one star,2023-02-11,-0.3333333333333333,Negative,['neutral']
6801cf5f,Wireless Earbuds,1,missing parts  Returned it. I bought this for my workout.,2024-01-05,-0.18181818181818182,Negative,['sadness']
10d13d1b,Stainless Bottle,3,neutral  Used it daily.,2023-09-17,0.0,Neutral,['neutral']
d41568c9,Wireless Earbuds,5,great value  Highly recommend.,2023-04-15,0.6,Positive,['joy']
ed002200,USB-C Charger,4,very satisfied  Highly recommend. I bought this for my travel.,2024-05-29,0.18181818181818182,Positive,['joy']
5ed70d03,Stainless Bottle,3,does the job  It's okay. I bought this for my office.,2023-01-30,0.0,Neutral,['neutral']
a95e7492,Laptop Sleeve,3,average  Used it daily.,2023-03-06,0.0,Neutral,['neutral']
18bb7899,Wireless Earbuds,5,best purchase,2024-08-25,0.3333333333333333,Positive,['joy']
6a3d7ee9,Laptop Sleeve,4,very satisfied  Will buy again. I bought this for my mom.,2025-01-18,0.08333333333333333,Positive,['joy']
4f13c615,Stainless Bottle,5,very satisfied  Highly recommend.,2023-03-17,0.4,Positive,['joy']
4b3a9e94,Stainless Bottle,5,excellent product  Will buy again. I bought this for my workout.,2023-10-10,0.08333333333333333,Positive,['joy']
95fa53f4,Yoga Mat,5,great value  Will buy again. Used it daily.,2025-04-06,0.2222222222222222,Positive,['joy']
c9c2350f,USB-C Charger,3,nothing special,2023-02-12,0.0,Neutral,['neutral']
e3190b45,Blender,3,works as expected  Nothing special. Used it daily.,2023-07-23,0.1111111111111111,Positive,['neutral']
69df0f84,Wireless Earbuds,5,excellent product  Packaging was good. I bought this for my travel.,2024-12-20,0.16666666666666666,Positive,['joy']
c934f6e1,Laptop Sleeve,1,broke quickly,2023-09-18,-0.3333333333333333,Negative,['neutral']
166de2ef,Laptop Sleeve,4,highly recommend  Used it daily.,2023-04-02,0.16666666666666666,Positive,['joy']
8ca18571,Office Chair,2,very disappointed  Very disappointed.,2023-05-31,-0.4,Negative,"['anger', 'sadness']"
008ae1ab,Blender,5,exceeded expectations  Used it daily.,2023-05-23,0.16666666666666666,Positive,['neutral']
f6f2d749,Stainless Bottle,4,best purchase  Packaging was good. Used it daily.,2024-03-19,0.2222222222222222,Positive,['joy']
5b00d520,Yoga Mat,4,perfect  Great value for money. Used it daily.,2026-07-26,0.3333333333333333,Positive,['joy']
08b37c29,USB-C Charger,5,perfect  Great value for money.,2023-04-16,0.5,Positive,['joy']
3157d47a,Stainless Bottle,4,loved it  Will buy again.,2023-05-11,0.16666666666666666,Positive,['joy']
8c7d256d,Blender,3,average  It's okay. Used it daily.,2023-01-14,0.0,Neutral,['neutral']
f3f79ab8,Blender,4,perfect  I bought this for my mom.,2023-09-12,0.125,Positive,['neutral']
bf75d85e,USB-C Charger,1,terrible  Returned it.,2023-04-30,-0.5,Negative,"['anger', 'sadness']"
39a75465,Laptop Sleeve,5,fast delivery  Packaging was good. Used it daily.,2023-04-10,0.2222222222222222,Positive,['neutral']
5f406b12,Wireless Earbuds,2,missing parts  I bought this for my travel.,2023-09-03,-0.1111111111111111,Negative,['neutral']
25a7c3be,USB-C Charger,5,perfect  Packaging was good.,2023-04-12,0.4,Positive,['neutral']
1dcba6c0,USB-C Charger,4,perfect  Highly recommend. Used it daily.,2024-06-07,0.2857142857142857,Positive,['joy']
f1014cfe,Office Chair,3,it's fine  Nothing special. Used it daily.,2024-04-20,0.0,Neutral,['neutral']
25bece8c,Blender,4,good quality,2024-01-01,0.3333333333333333,Positive,['neutral']
a656f93d,Office Chair,4,great value,2023-10-08,0.6666666666666666,Positive,['joy']
324aeeba,Yoga Mat,2,not worth  Returned it.,2024-10-20,-0.4,Negative,['sadness']
5743e511,Blender,3,acceptable,2023-03-17,0.0,Neutral,['neutral']
5c14b245,Wireless Earbuds,1,bad customer service  Used it daily.,2023-11-23,-0.14285714285714285,Negative,['neutral']
28099c52,Laptop Sleeve,4,loved it  Highly recommend. Used it daily.,2023-01-07,0.25,Positive,['joy']
889cc9ca,Stainless Bottle,4,highly recommend  Great value for money. I bought this for my friend.,2023-04-04,0.23076923076923078,Positive,['joy']
704511e4,Laptop Sleeve,4,excellent product  Highly recommend.,2023-03-11,0.4,Positive,['joy']
18d2ecc8,Office Chair,5,works great  Will buy again. Used it daily.,2023-06-28,0.2222222222222222,Positive,['joy']
e6d421a8,Blender,5,five stars  Highly recommend.,2023-02-23,0.2,Positive,['joy']
791c1953,Laptop Sleeve,3,does the job  It's okay.,2023-02-13,0.0,Neutral,['neutral']
6bac5190,Office Chair,5,loved it  Highly recommend. Used it daily.,2025-02-04,0.25,Positive,['joy']
ef1141c3,Yoga Mat,3,does the job  I bought this for my friend.,2024-01-29,0.0,Neutral,['neutral']
db8b71dd,Laptop Sleeve,5,good quality  Will buy again.,2023-10-23,0.16666666666666666,Positive,['neutral']
224526c6,Yoga Mat,4,perfect,2023-04-12,0.5,Positive,['neutral']
73453873,Office Chair,2,very disappointed  Not recommended. I bought this for my workout.,2025-04-10,-0.18181818181818182,Negative,"['anger', 'sadness']"
4a949ca5,Laptop Sleeve,5,works great  Packaging was good. I bought this for my office.,2024-01-01,0.25,Positive,['joy']
328f9dc5,Stainless Bottle,3,works as expected,2023-06-06,0.25,Positive,['neutral']
4a0349dc,Yoga Mat,5,highly recommend  I bought this for my travel.,2025-04-10,0.1111111111111111,Positive,['joy']
d0061501,Wireless Earbuds,5,exceeded expectations  Great value for money. I bought this for my workout.,2024-07-06,0.23076923076923078,Positive,['joy']
285068fe,Stainless Bottle,4,exceeded expectations  Will buy again.,2023-02-02,0.16666666666666666,Positive,['neutral']
ff323d31,Blender,3,nothing special  Could be better.,2025-04-15,0.0,Neutral,['neutral']
54926813,Wireless Earbuds,4,fast delivery  Highly recommend. Used it daily.,2023-01-04,0.25,Positive,['joy']
31879820,Yoga Mat,2,do not buy  Not recommended. Used it daily.,2024-02-02,-0.2222222222222222,Negative,['neutral']
21b0dcb3,Blender,1,terrible  Not recommended. Used it daily.,2023-03-05,-0.2857142857142857,Negative,['anger']
77f5bc65,Blender,4,perfect  Will buy again. I bought this for my workout.,2024-03-05,0.09090909090909091,Positive,['neutral']
87a52962,Office Chair,4,perfect  Highly recommend.,2023-04-03,0.5,Positive,['joy']
d1bcb6d9,Stainless Bottle,5,best purchase  Highly recommend. Used it daily.,2023-04-09,0.25,Positive,['joy']
d2090b7c,Blender,3,fair  Used it daily.,2024-05-15,0.0,Neutral,['neutral']
0904593a,Yoga Mat,4,perfect  Packaging was good. I bought this for my mom.,2024-11-21,0.18181818181818182,Positive,['neutral']
89859a10,Blender,4,best purchase  Will buy again. I bought this for my office.,2023-11-03,0.08333333333333333,Positive,['joy']
3a18b61c,Stainless Bottle,2,missing parts  Returned it. Used it daily.,2023-06-17,-0.25,Negative,['sadness']
bd645c86,Laptop Sleeve,3,does the job  Nothing special. I bought this for my friend.,2023-04-13,0.0,Neutral,['neutral']
ccca16ef,Wireless Earbuds,5,will buy again  Great value for money. Used it daily.,2023-07-02,0.18181818181818182,Positive,['joy']
956b3b90,USB-C Charger,5,will buy again,2023-12-31,0.0,Neutral,['neutral']
528e563d,Wireless Earbuds,5,very satisfied  Used it daily.,2023-09-12,0.16666666666666666,Positive,['joy']
a4393e06,Stainless Bottle,4,great value  Will buy again.,2023-09-05,0.3333333333333333,Positive,['joy']
023dd494,Stainless Bottle,3,acceptable,2024-04-12,0.0,Neutral,['neutral']
c0e4e4e8,Laptop Sleeve,3,average  It's okay.,2023-01-09,0.0,Neutral,['neutral']
075addd4,Laptop Sleeve,4,five stars  I bought this for my travel.,2023-03-13,0.0,Neutral,['neutral']
692f53b1,Blender,5,very satisfied  Highly recommend. I bought this for my friend.,2026-01-28,0.18181818181818182,Positive,['joy']
8e66e29d,Laptop Sleeve,5,good quality  Packaging was good. Used it daily.,2023-06-18,0.2222222222222222,Positive,['neutral']
208c118c,Yoga Mat,1,one star  Returned it. Used it daily.,2025-08-19,-0.25,Negative,['sadness']
673d0bcb,Laptop Sleeve,4,fast delivery  Will buy again.,2026-05-26,0.16666666666666666,Positive,['neutral']
3d47939e,Stainless Bottle,5,perfect  Great value for money. Used it daily.,2024-11-30,0.3333333333333333,Positive,['joy']
e529d19f,Laptop Sleeve,3,works as expected  It's okay. Used it daily.,2023-06-27,0.1,Positive,['neutral']
7199b36d,Yoga Mat,5,good quality  Great value for money. Used it daily.,2023-05-20,0.3,Positive,['joy']
52ac9f5a,USB-C Charger,3,fair  I bought this for my office.,2023-10-25,0.0,Neutral,['neutral']
531dd095,USB-C Charger,5,highly recommend  Highly recommend. I bought this for my mom.,2024-03-10,0.18181818181818182,Positive,['joy']
705602a8,Office Chair,4,very satisfied  Will buy again. I bought this for my friend.,2023-02-07,0.08333333333333333,Positive,['joy']
66ba7cc3,Yoga Mat,4,fast delivery  I bought this for my workout.,2027-08-10,0.1111111111111111,Positive,['neutral']
d0425c96,USB-C Charger,2,do not buy  Used it daily.,2023-09-24,-0.14285714285714285,Negative,['neutral']
b28295e4,Laptop Sleeve,5,will buy again  Will buy again. I bought this for my travel.,2024-05-07,0.0,Neutral,['neutral']
899b5d02,Wireless Earbuds,5,loved it  Will buy again. I bought this for my office.,2024-03-18,0.08333333333333333,Positive,['joy']
69a1db67,Blender,4,five stars  Highly recommend. Used it daily.,2023-05-07,0.125,Positive,['joy']
0cde1c2b,Stainless Bottle,5,very satisfied  Will buy again. I bought this for my office.,2024-08-29,0.08333333333333333,Positive,['joy']
d216b7b8,Wireless Earbuds,5,great value  Will buy again. Used it daily.,2025-06-11,0.2222222222222222,Positive,['joy']
59bae252,Office Chair,4,highly recommend  Packaging was good.,2023-09-12,0.3333333333333333,Positive,['joy']
62eee80d,Blender,5,excellent product  Packaging was good. Used it daily.,2024-01-19,0.2222222222222222,Positive,['joy']
af0770bf,Office Chair,5,excellent product  Will buy again. Used it daily.,2024-08-02,0.1111111111111111,Positive,['joy']
596bff75,USB-C Charger,5,good quality  Great value for money.,2023-05-31,0.42857142857142855,Positive,['joy']
d5157246,Stainless Bottle,4,loved it  Great value for money. I bought this for my mom.,2023-02-06,0.23076923076923078,Positive,['joy']
fdd71a80,Yoga Mat,4,will buy again  Will buy again. I bought this for my workout.,2023-01-14,0.0,Neutral,['neutral']
fa63234f,Yoga Mat,4,works great  Packaging was good.,2023-10-13,0.5,Positive,['joy']
3200f260,Wireless Earbuds,3,it's fine  Used it daily.,2023-11-23,0.0,Neutral,['neutral']
d46d7e99,Laptop Sleeve,1,missing parts  Very disappointed.,2023-01-14,-0.4,Negative,"['anger', 'sadness']"
82496403,USB-C Charger,5,excellent product  Highly recommend.,2023-06-13,0.4,Positive,['joy']
9b23eb6a,USB-C Charger,2,one star  Very disappointed. Used it daily.,2023-09-27,-0.25,Negative,"['anger', 'sadness']"
a2252e45,Stainless Bottle,5,five stars  Highly recommend. I bought this for my office.,2023-03-30,0.09090909090909091,Positive,['joy']
fd4546da,Blender,4,exceeded expectations  Great value for money.,2023-02-02,0.42857142857142855,Positive,['joy']
10ce920f,Wireless Earbuds,1,not as described  Returned it. I bought this for my friend.,2023-10-04,-0.16666666666666666,Negative,['sadness']
19bc375b,Stainless Bottle,4,five stars  Packaging was good.,2024-01-06,0.16666666666666666,Positive,['neutral']
3e713d61,Office Chair,5,best purchase  Great value for money.,2026-09-21,0.42857142857142855,Positive,['joy']
d07a11a0,Laptop Sleeve,4,best purchase  Packaging was good.,2023-05-23,0.3333333333333333,Positive,['joy']
267cede3,Laptop Sleeve,5,excellent product  Will buy again. Used it daily.,2023-04-26,0.1111111111111111,Positive,['joy']
b5656a07,Office Chair,4,loved it  Great value for money. Used it daily.,2023-01-30,0.3,Positive,['joy']
22bf00db,Wireless Earbuds,1,do not buy  Returned it.,2026-04-14,-0.3333333333333333,Negative,['sadness']
019acac7,Yoga Mat,5,best purchase  Highly recommend. Used it daily.,2024-03-10,0.25,Positive,['joy']
64989835,Stainless Bottle,4,highly recommend  Great value for money. Used it daily.,2023-03-11,0.3,Positive,['joy']
f2cd6e14,Blender,3,works as expected  Could be better. I bought this for my workout.,2023-04-16,0.07692307692307693,Positive,['neutral']
e25d6b6a,Laptop Sleeve,4,five stars  Great value for money. I bought this for my travel.,2024-04-02,0.15384615384615385,Positive,['joy']
2510845e,Laptop Sleeve,4,very satisfied  Will buy again. I bought this for my friend.,2023-04-30,0.08333333333333333,Positive,['joy']
69c22bd4,USB-C Charger,5,will buy again  Packaging was good. Used it daily.,2024-05-03,0.1,Positive,['neutral']
0bce0431,Office Chair,4,great value  Will buy again.,2023-12-12,0.3333333333333333,Positive,['joy']
3dff2bee,Laptop Sleeve,4,loved it  Highly recommend. I bought this for my mom.,2023-04-14,0.18181818181818182,Positive,['joy']
a9d09e3c,Yoga Mat,4,will buy again  Great value for money. I bought this for my office.,2024-06-01,0.14285714285714285,Positive,['joy']
eaa723d8,Blender,1,bad customer service  Used it daily.,2023-02-15,-0.14285714285714285,Negative,['neutral']
51481228,Blender,1,very disappointed  Returned it.,2023-01-16,-0.4,Negative,"['anger', 'sadness']"
34e61509,Stainless Bottle,5,fast delivery  Will buy again. Used it daily.,2024-03-19,0.1111111111111111,Positive,['neutral']
93dd908b,Office Chair,4,five stars  I bought this for my workout.,2023-02-07,0.0,Neutral,['neutral']
d9304131,Wireless Earbuds,4,perfect  Highly recommend. I bought this for my mom.,2023-08-23,0.2,Positive,['joy']
a7381c24,Yoga Mat,3,it's fine  Nothing special. Used it daily.,2023-07-27,0.0,Neutral,['neutral']
1749906a,Stainless Bottle,4,five stars  Great value for money. I bought this for my travel.,2023-12-16,0.15384615384615385,Positive,['joy']
f05ab911,Office Chair,4,good quality  Great value for money. I bought this for my office.,2023-01-17,0.23076923076923078,Positive,['joy']
7daad5db,USB-C Charger,4,works great  I bought this for my mom.,2023-12-25,0.2222222222222222,Positive,['joy']
8e0f6dc4,Office Chair,4,fast delivery  Highly recommend.,2024-12-09,0.4,Positive,['joy']
5a6597ec,Office Chair,4,good quality  Packaging was good. Used it daily.,2023-03-06,0.2222222222222222,Positive,['neutral']
a588e3db,Laptop Sleeve,1,broke quickly  I bought this for my travel.,2024-01-11,-0.1111111111111111,Negative,['neutral']
12013381,Laptop Sleeve,1,very disappointed  Not recommended.,2023-11-18,-0.4,Negative,"['anger', 'sadness']"
6dcabcb3,USB-C Charger,5,perfect  Packaging was good. Used it daily.,2023-11-09,0.25,Positive,['neutral']
800dba10,USB-C Charger,4,perfect  Packaging was good.,2024-01-12,0.4,Positive,['neutral']
e1ad30e2,Yoga Mat,4,five stars  Will buy again. Used it daily.,2023-10-15,0.0,Neutral,['neutral']
ece61ea4,Wireless Earbuds,5,excellent product  Will buy again. I bought this for my travel.,2023-06-28,0.08333333333333333,Positive,['joy']
6f1d42c5,Stainless Bottle,5,good quality,2025-05-10,0.3333333333333333,Positive,['neutral']
aaaafe7c,Yoga Mat,3,neutral  Could be better.,2023-01-27,0.0,Neutral,['neutral']
73448d35,Stainless Bottle,2,stopped working  Used it daily.,2023-01-07,-0.16666666666666666,Negative,['neutral']
b4458587,USB-C Charger,2,not worth  I bought this for my travel.,2024-02-24,-0.1111111111111111,Negative,['neutral']
edab59e6,USB-C Charger,1,stopped working  Very disappointed. I bought this for my travel.,2023-05-21,-0.18181818181818182,Negative,"['anger', 'sadness']"
f98d7e2c,Laptop Sleeve,5,fast delivery  Will buy again. I bought this for my workout.,2023-01-09,0.08333333333333333,Positive,['neutral']
1cea1013,Yoga Mat,5,exceeded expectations  Packaging was good. I bought this for my workout.,2023-05-01,0.16666666666666666,Positive,['neutral']
44038d67,Blender,2,poor quality  Used it daily.,2024-03-11,-0.16666666666666666,Negative,['neutral']
143bdbd5,Laptop Sleeve,4,very satisfied  I bought this for my mom.,2025-02-05,0.1111111111111111,Positive,['joy']
0a1f3a00,USB-C Charger,5,very satisfied  Used it daily.,2024-08-16,0.16666666666666666,Positive,['joy']
13458e09,USB-C Charger,3,okay product  Could be better. I bought this for my workout.,2023-03-13,0.0,Neutral,['neutral']
42b3cad7,Yoga Mat,5,excellent product  Great value for money. I bought this for my mom.,2024-08-23,0.23076923076923078,Positive,['joy']
27c12846,Office Chair,5,good quality  Highly recommend. Used it daily.,2023-07-14,0.25,Positive,['joy']
b2578643,Yoga Mat,4,will buy again  Highly recommend. Used it daily.,2024-06-30,0.1111111111111111,Positive,['joy']
d7798d2b,Stainless Bottle,3,average  It's okay.,2025-09-01,0.0,Neutral,['neutral']
19462ecc,Yoga Mat,5,highly recommend  Highly recommend.,2023-07-24,0.4,Positive,['joy']
300164c9,Laptop Sleeve,5,perfect  Packaging was good. Used it daily.,2024-05-27,0.25,Positive,['neutral']
98568798,Yoga Mat,2,one star  Not recommended. I bought this for my friend.,2025-04-29,-0.18181818181818182,Negative,['neutral']
